0	9.23291	0.397243
1	9.26257	0.398519
2	8.48954	0.36526
3	7.76579	0.334121
4	7.80388	0.33576
5	7.07095	0.304226
6	6.79097	0.29218
7	6.56532	0.282471
8	6.15209	0.264692
9	6.04209	0.259959
10	5.78527	0.248909
11	5.52954	0.237907
12	5.22185	0.224668
13	4.99293	0.214819
14	4.82395	0.207549
15	4.55532	0.195991
16	4.36248	0.187694
17	4.14331	0.178264
18	3.95973	0.170366
19	3.86964	0.16649
20	3.73867	0.160855
21	3.52258	0.151558
22	3.32836	0.143202
23	3.17535	0.136618
24	3.14756	0.135423
25	2.978	0.128127
26	2.83027	0.121771
27	2.68347	0.115455
28	2.68188	0.115387
29	2.54654	0.109564
30	2.39013	0.102835
31	2.3649	0.101749
32	2.16762	0.093261
33	2.15585	0.0927547
34	2.02724	0.0872214
35	2.05375	0.088362
36	1.93947	0.0834451
37	1.79766	0.0773437
38	1.7887	0.0769584
39	1.70694	0.0734403
40	1.6676	0.0717481
41	1.59345	0.0685577
42	1.58023	0.0679889
43	1.52873	0.0657732
44	1.46527	0.0630426
45	1.41567	0.0609088
46	1.38522	0.0595985
47	1.34294	0.0577795
48	1.27257	0.0547518
49	1.26084	0.0542471
50	1.24618	0.0536163
51	1.18178	0.0508459
52	1.14284	0.0491704
53	1.08709	0.0467717
54	1.08134	0.0465241
55	1.04368	0.0449039
56	1.0014	0.0430849
57	1.02516	0.0441074
58	0.971135	0.0417828
59	0.981328	0.0422213
60	0.952742	0.0409914
61	0.938424	0.0403754
62	0.920332	0.039597
63	0.883391	0.0380076
64	0.897581	0.0386181
65	0.847658	0.0364702
66	0.861038	0.0370459
67	0.849819	0.0365632
68	0.807673	0.0347499
69	0.815248	0.0350758
70	0.816458	0.0351278
71	0.82518	0.0355031
72	0.834316	0.0358962
73	0.848134	0.0364907
74	0.812196	0.0349445
75	0.81065	0.034878
76	0.796225	0.0342573
77	0.755213	0.0324928
78	0.760899	0.0327374
79	0.746254	0.0321073
80	0.728568	0.0313464
81	0.735478	0.0316437
82	0.701377	0.0301765
83	0.696942	0.0299857
84	0.693762	0.0298489
85	0.66214	0.0284883
86	0.681934	0.02934
87	0.649036	0.0279246
88	0.652878	0.0280899
89	0.65207	0.0280551
90	0.648146	0.0278863
91	0.627079	0.0269799
92	0.620987	0.0267178
93	0.616865	0.0265404
94	0.611389	0.0263048
95	0.604807	0.0260216
96	0.589672	0.0253705
97	0.60626	0.0260841
98	0.605337	0.0260444
99	0.581619	0.025024
100	0.570893	0.0245625
101	0.588847	0.0253349
102	0.562789	0.0242138
103	0.570466	0.0245441
104	0.568657	0.0244663
105	0.579677	0.0249404
106	0.56233	0.0241941
107	0.560446	0.024113
108	0.555496	0.0239
109	0.563334	0.0242373
110	0.550817	0.0236987
111	0.520557	0.0223968
112	0.567323	0.0244089
113	0.534323	0.0229891
114	0.562396	0.0241969
115	0.538754	0.0231797
116	0.556024	0.0239227
117	0.548006	0.0235778
118	0.52875	0.0227493
119	0.552151	0.0237561
120	0.531133	0.0228518
121	0.543463	0.0233823
122	0.530666	0.0228318
123	0.553321	0.0238065
124	0.532993	0.0229319
125	0.531332	0.0228604
126	0.540195	0.0232417
127	0.544982	0.0234477
128	0.53324	0.0229425
129	0.541679	0.0233056
130	0.516244	0.0222112
131	0.539538	0.0232135
132	0.531809	0.0228809
133	0.536897	0.0230998
134	0.532748	0.0229213
135	0.518166	0.0222939
136	0.505429	0.0217459
137	0.553693	0.0238225
138	0.532332	0.0229034
139	0.544493	0.0234267
140	0.551769	0.0237397
141	0.54818	0.0235853
142	0.564069	0.0242689
143	0.537222	0.0231138
144	0.558287	0.0240201
145	0.538776	0.0231807
146	0.545339	0.0234631
147	0.550081	0.0236671
148	0.534566	0.0229996
149	0.554467	0.0238558
150	0.550236	0.0236737
151	0.560639	0.0241213
152	0.56755	0.0244187
153	0.62004	0.026677
154	0.565355	0.0243242
155	0.540576	0.0232581
156	0.58864	0.025326
157	0.577514	0.0248474
158	0.572424	0.0246284
159	0.566345	0.0243668
160	0.578505	0.02489
161	0.597558	0.0257097
162	0.554478	0.0238562
163	0.614824	0.0264526
164	0.560573	0.0241185
165	0.590103	0.025389
166	0.613402	0.0263914
167	0.581469	0.0250175
168	0.581295	0.02501
169	0.608009	0.0261594
170	0.534476	0.0229957
171	0.57862	0.0248949
172	0.564277	0.0242779
173	0.587908	0.0252945
174	0.534203	0.0229839
175	0.555846	0.0239151
176	0.566558	0.024376
177	0.696679	0.0299744
178	0.635619	0.0273473
179	0.730484	0.0314288
180	0.467483	0.0201133
